baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
vanilla_mamba,789,254,149,0.1,0.22063249165872645,0.8818897637795275,0.24950947585765426,0.8859060402684564,0.38793301361157995,0.7440944881889764,0.4073650035410815,0.7516778523489933,0.58389089903066,0.5511811023622047,0.6106448096543962,0.5369127516778524,0.7536059246956857,0.4566929133858268,0.7992924712835733,0.4228187919463087,hhs4
vanilla_mamba,1024,254,149,0.1,0.27703648090229915,0.7716535433070866,0.33640990174735014,0.7181208053691275,0.5039266055184699,0.4448818897637795,0.5392927860549284,0.40268456375838924,0.655103508042926,0.38976377952755903,0.6543611760368352,0.3422818791946309,0.7451903249011674,0.3188976377952756,0.7354018315729401,0.2684563758389262,hhs4
patchtst,42,254,149,0.1,0.2947626243137367,0.610236220472441,0.3018742127193457,0.6442953020134228,0.4359813600334758,0.5590551181102362,0.4405216786141016,0.5906040268456376,0.5327646135924737,0.5039370078740157,0.544519173098195,0.5369127516778524,0.6577118077687474,0.46062992125984253,0.6409988184663274,0.5100671140939598,hhs4
patchtst,123,254,149,0.1,0.3237526900715838,0.5669291338582677,0.30814835677437025,0.6510067114093959,0.4264795457369985,0.5275590551181102,0.42896785779635205,0.5838926174496645,0.5076643326664289,0.5354330708661418,0.4715407999679511,0.6308724832214765,0.5830635996499073,0.5433070866141733,0.5205092035219626,0.6577181208053692,hhs4
patchtst,456,254,149,0.1,0.31464316981249335,0.6141732283464567,0.33994221526052154,0.6644295302013423,0.43618489708691505,0.5551181102362205,0.45491097597989594,0.6174496644295302,0.5298713013015558,0.49606299212598426,0.5304390233266378,0.5637583892617449,0.6002498968947999,0.4645669291338583,0.5825931576622239,0.5369127516778524,hhs4
patchtst,789,254,149,0.1,0.2976609942207839,0.6692913385826772,0.2953205019727823,0.7315436241610739,0.43333874970623504,0.6259842519685039,0.4214891085271276,0.7114093959731543,0.5282980564065745,0.5787401574803149,0.533690043387884,0.6644295302013423,0.6085300466626403,0.5236220472440944,0.5746818203605366,0.6174496644295302,hhs4
patchtst,1024,254,149,0.1,0.26054467774567963,0.8031496062992126,0.2530915444880628,0.8791946308724832,0.3556372873137302,0.7716535433070866,0.34891337416822604,0.8456375838926175,0.4401132916154781,0.7283464566929134,0.40727166456419583,0.8053691275167785,0.49653371159911913,0.6889763779527559,0.48271932121530403,0.7651006711409396,hhs4
lstm,42,254,149,0.3,0.12979007269030401,0.7716535433070866,0.13425421110970445,0.8053691275167785,0.22520713940410736,0.5866141732283464,0.2336600589964388,0.6442953020134228,0.2897571648402253,0.562992125984252,0.2865367022436737,0.6241610738255033,0.34768475179893027,0.5433070866141733,0.30850390665848404,0.6241610738255033,hhs5
lstm,123,254,149,0.3,0.1236352537782051,0.8070866141732284,0.11606738502686387,0.9060402684563759,0.20393204855412828,0.6496062992125984,0.18878893007455008,0.7516778523489933,0.2666241252882478,0.5393700787401575,0.23236446589866325,0.6711409395973155,0.3293533730030427,0.531496062992126,0.2615697007362579,0.6442953020134228,hhs5
lstm,456,254,149,0.3,0.13715751514068328,0.7440944881889764,0.1353460459158516,0.8389261744966443,0.2240626693844224,0.5787401574803149,0.22345468661894355,0.697986577181208,0.2913766668295664,0.468503937007874,0.29175373248518954,0.5838926174496645,0.36134990216250373,0.4251968503937008,0.3451630821165762,0.5167785234899329,hhs5
lstm,789,254,149,0.3,0.1479533805885122,0.7480314960629921,0.15611734751991327,0.7986577181208053,0.24575152785565418,0.5669291338582677,0.24272462682070733,0.6577181208053692,0.2962810959808021,0.5393700787401575,0.28741399242434795,0.6442953020134228,0.3609249794470941,0.4921259842519685,0.32848580235255015,0.5973154362416108,hhs5
lstm,1024,254,149,0.3,0.17817662626433478,0.6377952755905512,0.16371508352830244,0.738255033557047,0.2673033217874058,0.5236220472440944,0.26559851778711907,0.6174496644295302,0.3204711019414331,0.484251968503937,0.3221604595411823,0.5838926174496645,0.3771823180195752,0.38188976377952755,0.3814866193368931,0.436241610738255,hhs5
vanilla_mamba,42,254,149,0.1,0.155061323687725,0.8543307086614174,0.16440688928362576,0.8791946308724832,0.22389350313416537,0.8031496062992126,0.2435162750614396,0.8791946308724832,0.26358853180174424,0.7952755905511811,0.30040768350287295,0.8053691275167785,0.31542679788564537,0.7519685039370079,0.3323551967534826,0.8053691275167785,hhs5
vanilla_mamba,123,254,149,0.1,0.18851390204754895,0.6338582677165354,0.21020376125533763,0.6442953020134228,0.25496418001573407,0.6417322834645669,0.27033277134767314,0.7114093959731543,0.3226757372434684,0.5078740157480315,0.32196671803890875,0.5771812080536913,0.38424227783417547,0.5118110236220472,0.35812983236752555,0.5906040268456376,hhs5
vanilla_mamba,456,254,149,0.1,0.17816086700518363,0.8543307086614174,0.20429876737046562,0.8523489932885906,0.24578089799386352,0.8188976377952756,0.2794207099406198,0.8187919463087249,0.3082964732260206,0.7519685039370079,0.33842201724631077,0.7718120805369127,0.36015607261718424,0.5984251968503937,0.403010679301443,0.5906040268456376,hhs5
vanilla_mamba,789,254,149,0.1,0.18483630337058296,0.7992125984251969,0.16176114888668827,0.912751677852349,0.274882081266249,0.7598425196850394,0.24911939951006093,0.8523489932885906,0.36052146795248174,0.7165354330708661,0.3184583608870052,0.8322147651006712,0.3903176299709086,0.7519685039370079,0.3717468181948186,0.8120805369127517,hhs5
vanilla_mamba,1024,254,149,0.1,0.14875514858595848,0.9212598425196851,0.17732529592437513,0.8993288590604027,0.24760788037110396,0.7913385826771654,0.2823799261661653,0.8322147651006712,0.31827560395339055,0.7440944881889764,0.3443468462253821,0.7785234899328859,0.3688666544660278,0.6968503937007874,0.36939791504942643,0.7583892617449665,hhs5
patchtst,42,254,149,0.1,0.22840933504618022,0.6141732283464567,0.2319797661031757,0.6845637583892618,0.33242816007035786,0.5511811023622047,0.35755254740991743,0.6040268456375839,0.3941495088596778,0.515748031496063,0.42964529519834915,0.5973154362416108,0.46440140488911114,0.484251968503937,0.49932368970722574,0.5436241610738255,hhs5
patchtst,123,254,149,0.1,0.21197038862449957,0.6417322834645669,0.205140140246451,0.738255033557047,0.2784350063775254,0.5551181102362205,0.2943672012510106,0.6442953020134228,0.3277207656459515,0.5984251968503937,0.3463788084510137,0.6711409395973155,0.3763701687601944,0.5905511811023622,0.4035092051162868,0.6845637583892618,hhs5
patchtst,456,254,149,0.1,0.23866760651337718,0.6259842519685039,0.25404749444654084,0.7114093959731543,0.3199126892645793,0.5590551181102362,0.34090016712043525,0.6510067114093959,0.37120196628074703,0.5393700787401575,0.4051400555460245,0.5906040268456376,0.4084218381122851,0.5511811023622047,0.4442896595729451,0.5906040268456376,hhs5
patchtst,789,254,149,0.1,0.20490118341545296,0.6417322834645669,0.18972719316071032,0.7718120805369127,0.2650711401350919,0.6259842519685039,0.2610824371721196,0.7315436241610739,0.3267301015366007,0.6456692913385826,0.3486147992618448,0.7315436241610739,0.3824655095315215,0.6023622047244095,0.3933476683195775,0.6845637583892618,hhs5
patchtst,1024,254,149,0.1,0.17767469892440602,0.8582677165354331,0.16995810074405052,0.9328859060402684,0.25097719876808416,0.8070866141732284,0.2802116572628706,0.8456375838926175,0.29846049038015143,0.8070866141732284,0.3256978581736458,0.87248322147651,0.347305294180987,0.7283464566929134,0.4020771277278851,0.7718120805369127,hhs5
