tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,n_full,n_strict,region,baseline,seed
0.3156937337307808,0.8346456692913385,0.3074796271026075,0.8456375838926175,0.411750667029561,0.7716535433070866,0.407552214347555,0.7651006711409396,0.4589047058601462,0.8267716535433071,0.46392911692274036,0.8322147651006712,0.5637155965444922,0.7952755905511811,0.5470759260309322,0.8053691275167785,254,149,hhs2,patchtst,789
0.27809587315981843,0.84251968503937,0.2526970129996618,0.8590604026845637,0.37022260966987147,0.8464566929133859,0.35223941434218625,0.8456375838926175,0.4587601534725375,0.8818897637795275,0.4429845575114088,0.8791946308724832,0.5056453356024985,0.9015748031496063,0.5220127030891722,0.8926174496644296,254,149,hhs2,patchtst,1024
0.21187235460483914,0.9221789883268483,0.22428368784859104,0.912751677852349,0.3423526875298461,0.8793774319066148,0.3619971195969761,0.8859060402684564,0.4427131102523001,0.8638132295719845,0.4723136597918409,0.87248322147651,0.5284281001096316,0.8871595330739299,0.584717790853403,0.8657718120805369,257,149,hhs2,cg_mamba,42
0.19341854894236546,0.9027237354085603,0.2061767562135678,0.8859060402684564,0.30658019208549175,0.9105058365758755,0.3306073465884483,0.8926174496644296,0.40444332440367436,0.9182879377431906,0.44244990211555696,0.8926174496644296,0.4770193811944503,0.8988326848249028,0.5345539802925493,0.8657718120805369,257,149,hhs2,cg_mamba,123
0.22046330584717946,0.8988326848249028,0.2245586947394858,0.8993288590604027,0.36828233937305543,0.8365758754863813,0.372264804454122,0.8590604026845637,0.47872627449438876,0.8132295719844358,0.4795064673270566,0.8523489932885906,0.5648731164255454,0.7665369649805448,0.5791640302126603,0.7919463087248322,257,149,hhs2,cg_mamba,456
0.20305719862466756,0.9105058365758755,0.21153669691303056,0.8993288590604027,0.33233016890308903,0.8871595330739299,0.3474208729347012,0.8993288590604027,0.440734913278812,0.8560311284046692,0.46490187012380285,0.87248322147651,0.5225002731198158,0.8560311284046692,0.5666613533175721,0.8590604026845637,257,149,hhs2,cg_mamba,789
0.20040789613316012,0.9182879377431906,0.2131851556789752,0.8993288590604027,0.3343096002884757,0.8871595330739299,0.351144024643228,0.8791946308724832,0.44453099337663043,0.8287937743190662,0.4613046723721413,0.8187919463087249,0.5345401366925783,0.7704280155642024,0.5685514002868882,0.7785234899328859,257,149,hhs2,cg_mamba,1024
0.13933483031004454,0.9448818897637795,0.14402347793409975,0.9328859060402684,0.24780539302392232,0.9448818897637795,0.2514176614049107,0.9328859060402684,0.33192442185957793,0.9488188976377953,0.32592075494568734,0.9463087248322147,0.3974244136533616,0.9173228346456693,0.37876484526519455,0.9194630872483222,254,149,hhs3,dlinear,-1
0.1614270325009927,0.7992125984251969,0.15226898573940761,0.8456375838926175,0.29166234782621847,0.7952755905511811,0.27936112762926185,0.8322147651006712,0.39450653731985286,0.8582677165354331,0.36832738017304645,0.8657718120805369,0.526871445570991,0.7322834645669292,0.46127708623366886,0.785234899328859,254,149,hhs3,lstm,42
0.13436658841159085,0.8858267716535433,0.14340661097273666,0.9060402684563759,0.23215521825432062,0.8818897637795275,0.24051389575807441,0.8993288590604027,0.32213172269381135,0.8228346456692913,0.31434407295178307,0.87248322147651,0.42223804244919033,0.7637795275590551,0.3774908845855116,0.8389261744966443,254,149,hhs3,lstm,123
0.1476050941701443,0.8503937007874016,0.14511879669311561,0.8993288590604027,0.282984353765036,0.7716535433070866,0.27787970338544776,0.825503355704698,0.4027150809769273,0.7598425196850394,0.3902504882267182,0.8053691275167785,0.5178426962885846,0.7283464566929134,0.48349227854240634,0.785234899328859,254,149,hhs3,lstm,456
0.16790558229940206,0.8858267716535433,0.16654473466447,0.9261744966442953,0.28442712877668497,0.8937007874015748,0.2756990710885638,0.9194630872483222,0.3858024455112759,0.8267716535433071,0.3685723680225691,0.8791946308724832,0.49046016587122115,0.7440944881889764,0.45359026108772027,0.7986577181208053,254,149,hhs3,lstm,789
0.16913861562762916,0.8464566929133859,0.1502406495335342,0.912751677852349,0.24318292948117215,0.8503937007874016,0.22143942305610947,0.9194630872483222,0.3002211816493141,0.8228346456692913,0.2562342431268574,0.9060402684563759,0.3489098397858223,0.7992125984251969,0.2804574153024916,0.8993288590604027,254,149,hhs3,lstm,1024
0.17180973959571796,0.9566929133858267,0.18612803874769987,0.9530201342281879,0.2407161367587381,0.9409448818897638,0.24678180050496623,0.9395973154362416,0.29150292180868137,0.84251968503937,0.29825293971711886,0.8389261744966443,0.3534426638929446,0.7992125984251969,0.3393397478410585,0.8322147651006712,254,149,hhs3,vanilla_mamba,42
0.20293214278080202,0.7401574803149606,0.22352725470804397,0.6912751677852349,0.27384820553366473,0.9212598425196851,0.29147221297160697,0.912751677852349,0.33071756951665054,0.8543307086614174,0.3244384113573668,0.8590604026845637,0.4070534509439513,0.7874015748031497,0.3707642002205783,0.8322147651006712,254,149,hhs3,vanilla_mamba,123
