baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
epideep,1024,254,149,0.1,0.2604904870988367,0.39763779527559057,0.26226524460235695,0.40939597315436244,0.3776516140760195,0.31496062992125984,0.3921485070570725,0.33557046979865773,0.47704200375471895,0.28346456692913385,0.47529679848808987,0.30201342281879195,0.540062529633905,0.2952755905511811,0.5230236309132806,0.3087248322147651,hhs8
dlinear_ensemble_gauss,-1,254,149,,0.18300532187882393,0.4409448818897638,0.1901613141883293,0.4161073825503356,0.33726330789209785,0.32677165354330706,0.34277068729519017,0.33557046979865773,0.46755454654639683,0.2677165354330709,0.4784966936499068,0.2684563758389262,0.5715684694443665,0.25984251968503935,0.5805941610762037,0.2684563758389262,hhs8
epideep,42,254,149,0.1,0.4091151571499285,0.33070866141732286,0.4187247144389786,0.35570469798657717,0.6674224791107256,0.20866141732283464,0.6777998416720168,0.174496644295302,0.9274840758976077,0.1732283464566929,0.9260647416883562,0.1476510067114094,1.1408808146839027,0.15354330708661418,1.1409942351095106,0.10067114093959731,hhs9
epideep,123,254,149,0.1,0.2633912295950925,0.38188976377952755,0.2836953372258921,0.44966442953020136,0.4088642492175143,0.28346456692913385,0.4749841787556292,0.28859060402684567,0.5568056446817875,0.2440944881889764,0.6706328368976578,0.2214765100671141,0.6842255639805447,0.25984251968503935,0.8356992027774857,0.2348993288590604,hhs9
epideep,456,254,149,0.1,0.2601823615659512,0.4251968503937008,0.2987925033145651,0.4228187919463087,0.4184150403814542,0.2992125984251969,0.4861505759955496,0.2684563758389262,0.5732486533795224,0.2677165354330709,0.6631027249093997,0.2550335570469799,0.7099354149509849,0.2204724409448819,0.8242034192912461,0.19463087248322147,hhs9
epideep,789,254,149,0.1,0.2770255775127824,0.46062992125984253,0.29393221441253065,0.5369127516778524,0.44791262741255783,0.27165354330708663,0.4937260454160881,0.26174496644295303,0.6504805126063875,0.2047244094488189,0.7560710467080315,0.14093959731543623,0.8318732799920715,0.1968503937007874,1.0013838050318138,0.10738255033557047,hhs9
epideep,1024,254,149,0.1,0.3670646374993274,0.32677165354330706,0.3792126469275399,0.31543624161073824,0.5642492488956092,0.21653543307086615,0.6035306441930003,0.174496644295302,0.7947794254977627,0.16929133858267717,0.827155240263854,0.10738255033557047,0.9726525910114515,0.16929133858267717,0.995247511249052,0.10738255033557047,hhs9
dlinear_ensemble_gauss,-1,254,149,,0.17327016512018334,0.47244094488188976,0.19465951115484098,0.5570469798657718,0.38064571142800047,0.18110236220472442,0.46286286974969726,0.11409395973154363,0.5723866654513574,0.08267716535433071,0.7045755903438775,0.04697986577181208,0.727125328522249,0.1141732283464567,0.9038513577054166,0.06040268456375839,hhs9
epideep,42,254,149,0.1,0.2110955166430536,0.515748031496063,0.2381290897352201,0.5369127516778524,0.34574772935142584,0.41732283464566927,0.3902348328633319,0.48322147651006714,0.4818886965056145,0.3543307086614173,0.5318879572138829,0.42953020134228187,0.5867853100911593,0.35039370078740156,0.6321908222042787,0.40939597315436244,hhs10
epideep,123,254,149,0.1,0.23378788737999132,0.4409448818897638,0.24984545549368564,0.5100671140939598,0.3433491159001163,0.42913385826771655,0.4120716703749448,0.47651006711409394,0.43580932398164407,0.4251968503937008,0.5459339214125248,0.46308724832214765,0.5088378610925922,0.4094488188976378,0.6410786537436901,0.42953020134228187,hhs10
epideep,456,254,149,0.1,0.2122184112178304,0.5393700787401575,0.22206109654844278,0.610738255033557,0.3377093014468971,0.3937007874015748,0.3912513306384745,0.4228187919463087,0.4556608198867273,0.2795275590551181,0.5367991917478402,0.3087248322147651,0.5323788670273685,0.33070866141732286,0.6304989070048094,0.35570469798657717,hhs10
epideep,789,254,149,0.1,0.21242350309342398,0.5196850393700787,0.21087028762446847,0.5973154362416108,0.33102324177364056,0.421259842519685,0.37235462665244795,0.4697986577181208,0.4261061370315126,0.4015748031496063,0.5016511294580529,0.4228187919463087,0.5004166950073217,0.3661417322834646,0.5961615353944456,0.3825503355704698,hhs10
epideep,1024,254,149,0.1,0.2205822448288586,0.4645669291338583,0.24100043299196755,0.5167785234899329,0.3583853149380393,0.3779527559055118,0.4066433735022679,0.42953020134228187,0.48848327655002133,0.32677165354330706,0.5407281062303495,0.3825503355704698,0.5934231112483673,0.3228346456692913,0.6340749264914821,0.37583892617449666,hhs10
dlinear_ensemble_gauss,-1,254,149,,0.2189653709853326,0.41338582677165353,0.2695173507936032,0.42953020134228187,0.42882958401773874,0.2637795275590551,0.5197109123054056,0.28187919463087246,0.6144635147073843,0.2204724409448819,0.7503286813075434,0.22818791946308725,0.7461139052841441,0.20078740157480315,0.9068848008165799,0.2080536912751678,hhs10
